Provinsi,X1,X2,X3,X4
Aceh,0.35,92.35,13.7,79.85
Sumatera Utara,0.79,95.19,15.41,86.61
Sumatera Barat,0.9,95.16,20.14,87.52
Riau,0.63,97.27,18.58,91.01
Jambi,0.56,94.44,16.24,87.34
Sumatera Selatan,0.84,94.56,14.42,85.79
Bengkulu,0.72,94.31,17.9,86.43
Lampung,0.3,95.17,10.7,87.9
Bangka Belitung,0.55,95.81,17.89,89.81
Kepulauan Riau,1.61,98.35,27.47,95.26
DKI Jakarta,8.22,96.76,36.83,95.39
Jawa Barat,1.62,91.38,18.7,87.57
Jawa engah,0.99,91.36,14.92,88.24
D.I. Yogyakarta,3.81,92.13,31.15,89.03
Jawa imur,1.01,90.54,16.42,85.11
Banten,1.66,94.05,19.75,91.11
Bali,2.37,95.9,27.72,91.21
Nusa Tenggara Barat,0.27,90.94,11.06,79.77
Nusa Tenggara Timur,0.35,88.48,13.92,74.23
Kalimantan Barat,0.44,92.53,14.92,84.74
Kalimantan Tengah,0.27,93.31,16.7,84.76
Kalimantan Selatan,0.43,92.97,18.19,87.21
Kalimantan Timur,1.37,97.6,28.91,93.06
Kalimantan Utara,0.88,98.11,28.17,94.27
Sulawesi Utara,0.65,93.34,17.12,83.54
Sulawesi Tengah,0.28,92.01,14.32,82.23
Sulawesi Selatan,0.74,95.85,20.61,88.33
Sulawesi Tenggara,0.01,96.44,17.84,87.6
Gorontalo,0.03,93.53,14.98,85.52
Sulawesi Baral,0.16,92.44,13.61,82.09
Maluku,0.49,94.13,18.17,82.36
Maluku Utara,0.35,92.82,13.58,77.8
Papua Barat,0.52,91.86,20.04,78.32
Papua,0.27,52.6,9.36,35.14
