Negara,X1,X2,X3,X4,X5,X6,X7,X8,X9
Afghanistan,11.12,0,0,0,0,0,0,44,69
Albania,12.33,4,2,6,3,6,1,21,15
Algeria,11.7,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0
Angola,6.89,31,39,0,0,0,0,0,0
Anguilla,0,14,0,0,0,0,0,0,0
Antigua and Barbuda,0,14,4,4,1,1,2,14,12
Argentina,9.79,2,2,0,0,0,0,15,7
Armenia,16.99,52,50,9,9,11,9,16,4
Australia,5.27,13,14,0,0,2,3,10,6
Austria,4.67,0,0,0,0,1,0,10,9
Azerbaijan,5.51,32,19,10,7,0,0,0,0
The Bahamas,10.36,0,0,0,0,23,21,29,24
Bahrain,0.71,31,28,2,3,7,0,18,6
Bangladesh,4.19,0,0,0,0,0,0,41,36
Barbados,10.33,6,10,1,2,7,3,7,3
Belarus,4.59,0,4,1,2,1,1,6,4
Belgium,5.59,3,2,1,0,1,1,1,2
Belize,6.41,18,16,1,1,9,11,38,35
Benin,2.23,15,16,3,10,27,43,46,66
Bhutan,2.34,58,59,5,2,18,6,33,22
Bolivia,3.5,9,8,5,5,13,14,22,22
Bosnia and Herzegovina,18.42,72,73,0,0,0,0,22,19
Botswana,18.19,79,78,12,10,0,0,0,0
Brazil,12.08,0,1,1,1,2,3,16,14
British Virgin Islands,0,9,2,4,3,8,7,24,16
Brunei,9.12,17,18,0,0,0,0,19,16
Bulgaria,4.34,19,20,13,13,12,13,10,14
Burkina Faso,6.26,81,81,21,22,48,44,67,65
Burundi,1.43,52,50,9,6,36,31,67,62
Cape Verde,12.25,19,19,6,7,14,13,29,24
Cambodia,0.68,48,44,9,9,12,14,0,0
Cameroon,3.38,56,57,4,13,33,40,50,58
Canada,5.56,0,0,0,0,0,0,6,6
Central African Republic,3.68,0,0,0,0,0,0,0,0
Chad,1.89,85,87,17,35,55,70,71,85
Chile,7.09,8,8,1,2,5,6,5,5
China,4.32,0,0,0,0,0,0,0,0
Colombia,9.71,3,1,3,2,6,5,22,20
Comoros,4.34,71,70,18,18,20,18,52,48
Republic of the Congo,9.47,71,70,15,16,0,0,0,0
Cook Islands,0,3,0,2,2,4,6,30,27
Costa Rica,11.85,4,4,3,3,3,1,7,5
Ivory Coast,3.32,78,78,2,8,41,48,52,64
Croatia,6.93,5,5,0,0,3,1,16,11
Cuba,1.64,2,2,1,1,10,10,20,15
Cyprus,7.27,1,2,0,1,2,2,6,8
Czech Republic,1.93,10,10,1,0,1,2,3,3
North Korea,2.74,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,4.24,0,0,0,0,0,0,0,0
Denmark,4.91,2,2,1,0,0,1,11,9
Djibouti,10.3,85,88,32,35,48,48,66,67
Dominica,0,21,7,4,3,3,1,19,17
Dominican Republic,5.84,7,6,4,4,6,6,23,21
Ecuador,3.97,8,3,0,0,6,3,20,18
Egypt,10.76,63,63,0,0,3,2,23,24
El Salvador,4.11,18,17,14,13,17,17,33,35
Equatorial Guinea,6.43,57,55,56,55,0,0,0,0
Eritrea,5.14,73,73,45,50,32,40,45,53
Estonia,5.11,12,12,2,2,2,0,1,2
Eswatini,0,0,0,15,17,3,3,14,18
Ethiopia,2.08,62,64,11,18,45,49,73,75
Fiji,4.1,0,1,1,1,0,0,0,0
Finland,6.59,2,3,1,1,1,0,3,5
France,8.43,0,0,0,0,1,1,5,4
Gabon,20,0,0,0,0,0,0,0,0
The Gambia,9.06,42,36,19,10,0,0,0,0
Georgia,14.4,0,0,2,2,1,2,7,4
Germany,3.04,1,1,1,0,6,4,12,16
Ghana,4.33,14,12,1,0,13,8,28,28
Greece,17.24,6,5,2,1,3,5,4,6
Grenada,0,4,1,0,0,0,0,8,7
Guatemala,2.46,16,16,11,10,30,35,57,61
Guinea,4.3,57,60,15,29,43,60,59,76
Guinea0Bissau,2.47,0,0,0,0,0,0,0,0
Guyana,11.85,0,0,0,0,0,0,0,0
Haiti,13.78,0,0,0,0,0,0,0,0
Vatican City,0,0,0,0,0,0,0,0,0
